Main Category,Sub Category
Beverages , Biscuits & Cookies ," Biscuits, Cookies, Wafers Biscuit"
Beverages ," Sauces, Spreads & Condiments "," Ketchup, Jams, Honey, Mayonnaise, Peanut / Garlic Butter, Spreads, Chilli Sauces, Other Sauces"
Beverages , Pickles ," Mixed, Mango, Chilli, Other Pickles"
Beverages , Sweets & Candies ," Desserts, Packed Mithais, Custard Powder & Ice Cream Mix"
Beverages , Chocolates ," Favorites, Diet Bars, Dark Chocolates, Festive Gift Pack"
Beverages , Body Care ," Body Talc, Soaps & Bathing Bars, Deodorants & Body Sprays, Lotions & Moisturizers, Massage Oils, Shower Gel & Body Wash"
Beverages , Personal Care Electrical Products ," Hair Stylers, Massagers"
Beverages , Hair Care ," Shampoos & Conditioner, Oils & Serum, Hair Gels & Creams, Hair Colors, Brushes / Combs"
Beverages , Face Care ," Face Pack, Lip Care, Face Wash & Scrubs, Face Creams"
Beverages , Shaving Needs ," Razors & Blades, Shaving Cream & Foam, After Shave"
Beverages , Oral Care ," Toothbrush, Toothpaste"
Beverages , Personal Hygiene , Handwash & Sanitizers
Beverages , OTC Medicines ," Antiseptics, Digestive, Cotton & Bandages"
Beverages , Detergents ," Detergent Bar, Detergent Powder, Liquid Detergent"
Beverages , Diwali Decoration ," Dishwash Bars, Liquid Dishwashers, Powdered Dishwashers"
Beverages , Utensil Cleaners ," Floor Cleaners, Toilet Cleaners, Surface Cleaners"
Beverages , Cleaners , Agarbathi & Dhoop Batti
Beverages , Pooja Needs ," Brooms  Dust Pans & Dustbin, Mops & Wipers, Brushes & Scrubbers"
Beverages , Cleaning Equipments , Shoe Polish
Beverages , Shoe Care , Mosquito Repellents
Beverages , Repellents ," Cutlery, Bottles, Chillers & Ice Cube Trays, Cookwere, Pressure Cooker, Kitchen Stroage, Dining & Serving, Cutting Tools, Flasks & Tiffins, Disposables, Mug & Cup Saucers, Bathroom Accessories"
Beverages , Kitchen & Dining ," Juicer Mixer & Blenders, Toasters"
Beverages , Kitchen & Home Appliance ," Toilet Paper, Disposable Plates & Utensils, Tissue Papers & Napkins"
Beverages , Air Fresheners ," Toilet Paper, Disposable Plates & Utensils, Tissue Papers & Napkins"
Beverages , Baby Food ," Baby Powder, Diapers & Wipes, Baby Care & Accessories, Baby Creams & Lotions, Baby Oils & Shampoos"
Beverages , Soft Drinks , Cola Drinks
Beverages , Fruit Juices ," Mango Juices, Orange Juices, Apple Juices"
Beverages , Tea & Coffee ," Tea, Green Tea, Tea Bags, Instant Coffee, Drinking Cocolate"
Beverages , Mineral Water , Energy Drinks
Beverages , Energy & Health Drinks ," Concentrates, Milk Drink, Sarbat"
Stationery , Grains ," Chana Dal, Moong Dal, Other Dals, Raw Peanuts, Soya Products"
Stationery , Dals & Pulses ," Almonds, Cashews, Mukhwas & Mouth Freshener, Other Dry Fruits"
Stationery , Dry Fruits ," Ghee, Sunflower Oil, Cottonseed Oil, Groudnut Oils, Olive Oils, Mustard Oils"
Stationery , Edible Oils & Ghee ," Besan, Maida, Other Flours, Rice Flours, Sooji & Rava"
Stationery , Flours & Sooji ," Food Colour, International Spices, Powdered Spices, Ready Masalas"
Stationery , Masalas & Spices ," Avalakki / Poha, Basmati Rice"
Stationery , Rice & Rice Product ," Jaggery, Salt, Sugar, Sugar Cubes"
Stationery , Breads & Bakery , Bread
Stationery , Breakfast Cereals ," Flakes, Muesli & OATS"
Stationery , Snacks ," Other Snacks, Namkeen, Chikki, Chips & More, Papads"
Stationery , Biscuits & Cookies ," Biscuits, Cookies, Wafers Biscuit"
Stationery ," Sauces, Spreads & Condiments "," Ketchup, Jams, Honey, Mayonnaise, Peanut / Garlic Butter, Spreads, Chilli Sauces, Other Sauces"
Stationery , Pickles ," Mixed, Mango, Chilli, Other Pickles"
Stationery , Sweets & Candies ," Desserts, Packed Mithais, Custard Powder & Ice Cream Mix"
Stationery , Chocolates ," Favorites, Diet Bars, Dark Chocolates, Festive Gift Pack"
Stationery , Body Care ," Body Talc, Soaps & Bathing Bars, Deodorants & Body Sprays, Lotions & Moisturizers, Massage Oils, Shower Gel & Body Wash"
Stationery , Personal Care Electrical Products ," Hair Stylers, Massagers"
